name,img,messsage
様々な鳥たち①,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4896+2.jpg,軍鶏やスズメに白サギなど様々な鳥がいますね。
かわいい動物たち,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4897+2.jpg,たぬきや犬に可愛らしいうさぎ、狐に水牛、馬たち凄い躍動感です。
現代は上野動物園に行けばゾウやパンダや虎をみる事ができますが、動物園がない江戸時代にこのクオリティを再現できる北斎先生は凄いです、、,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4898+2.JPG,北斎の人物表現は、役者や美人にとどまらず、老若男女、神々や僧侶、文人、和漢古典の登場人物、あるいは庶民の暮らしぶりなどありとあらゆる層に及んでいます。力士等、特定のテーマによる題材を多様なポーズで描くことも試みています。
愛らしい犬や鳥に人々,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4899+2.jpg,犬の後ろ姿がなんとも愛おしいです。表情が可愛らしい人や動物も見所でありますが、動物の骨格の表現を筆圧で表現しています。これは簡単にできるものではありません。普段から尋常ではない量の絵を描き続けている技術の賜物なのでしょう。
たくましい獅子と可愛らしい猿と,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4900+2.JPG,上段におります三匹は唐獅子と呼ばれる、いわゆるライオンですね。刺青では大変人気の動物でして、牡丹という花と一緒に描かれた「唐獅子牡丹」という作品があります。そのたくましい「唐獅子」とは打って変わって下のたぬきや猿がとてもかわいいです。一本の筆で可愛らしい動物の骨格から毛並みを表現できるのは流石は北斎先生です。
トラとかわいい猿と,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4901+2.JPG,なんの種類かは定かではありませんが、木にぶら下がる猿がなんとも可愛いですね。元祖マスコットキャラクターといったところですかね、北斎先生にかかれば的確な筆使いだけでなく、可愛らしさで動物をアレンジするのもお手の物です。馬を色々な角度から描いているのも素晴らしい!!
様々な鳥たち②,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4902+2.jpg,北斎先生は鳥類に関してはかなり写実的に描くようです。鶏も得意でして、種類としてはおそらく「クロカシワ」と呼ばれる種類なのでは無いかと思われます(間違っていたら種類を教えてください。)
様々な鳥たち③,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4903+2.JPG,燕が飛んでいる姿や雁が滑空するかっこいい絵が描かれている一枚です。池を泳ぐ鴨は今にも動き出しそうなクオリティです。
様々な鳥たち④,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4904+2.JPG,燕や鴨ですかね、比翼鳥と呼ばれる伝説上の鳥も描かれております。伝説では一つの羽根と一つの目しか持たない鳥とされており、それ故に、二匹つがいになって支え合い空を飛ぶ鳥のようですね。白鷺も見切れてはいますが、忠実に再現していると思います。小さい鶯も可愛いです。
様々な鳥たち⑤,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4905+2.JPG,真ん中の錦雉は雉化の、羽毛が美しい鳥です。※種類が定かではない鳥は今後発覚次第追記します。
様々な鳥たち⑥,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4906+2.JPG,今回は鷲や鷹など、獰猛な鳥たちが多く描かれています。右上には鳶もいます。写真もない時代にどうやってこれらの鳥を描いていたのか不思議です、、
様々な鳥たち⑦,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4907+2.JPG,真ん中の鶏がなんともかっこいいです。フクロウもいますが寝ているのでしょうか？とても可愛いですね。雷鳥なども正確に描いています。
水生生物,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4911.JPG,水生生物たちですね、北斎先生に描けないものはあるのでしょうか??実在する水生生物に合わせてお世辞にも美人とは言えない人魚や座って休んでいる河童もいます。どちらも架空の動物(現代では)ですが、実在しているものを模写しているようなクオリティです、、北斎先生恐るべし。
勝敗の行方は、、,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4913.JPG,唐獅子の決闘ですね、勝負の世界はいつも残酷です。それ故に美しくもあります。複雑な構図を見事に描き切った作品です。
鶏犬の声に吉凶を知る,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4921.JPG,一般的に犬が遠吠えするのはあまりいい知らせではないと言いますね、シリアスな一面なのですが、子犬がなんとも可愛いです。
様々な鳥たち⑧,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4934.jpg,左はサギでしょうか??真ん中の鳥は恐らく鳶か鷹ではないかと思われます。色々な鳥たちの滑空するポーズが見事です。鳥の構図を観察、研究しているからこそ描ける一枚ですね、写真がない時代にどうやって描いたのでしょうか、、達人とはこういう事をいうのでしょう!!大胆な構図と繊細なタッチは見る人を魅了します。北斎先生は北斎漫画の中でも沢山の鳥を描いています。
様々な鳥たち⑨,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4935.jpg,水辺の鳥たちを多く描いていますね。かもが水に潜っている描写を黒く描いているのは見事です、、水の動きの表現を薄い墨で表現しているのも凄いです。水に潜って餌を探している鳥、浮かぶ鳥、水辺に立つ白サギ、どれをとっても素晴らしい!!
様々な鳥たち(10),https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4936.jpg,お馴染みの北斎漫画の様々な鳥たちシリーズも10シリーズまで来ました!!種類は分かりませんが、しっぽの長い美しい鳥や雀などが描かれています。眠そうなフクロウが可愛い!!
様々な鳥たち(11),https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4937.jpg,鶴でしょうか??実に忠実に描いていますね、鶴は日本ではお馴染みの鳥ですが、この時代に鶴の色々なポージングを描いているのは北斎先生くらいなのではないでしょうか??見切れていますが右側にカラスが描いていますね。
陸から海へ,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4938.jpg,上の鳥の種類は分かりませんが、なんともリアルです、、下は海の世界へ、、伊勢海老と何かしらの貝ですかね、筆遣いで見事に表現している伊勢海老が素晴らしいです。これだけのモデルをどこで観察しているのでしょうか??
盛者必衰の如く??,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4939.jpg,かつて祭りで使われていただろう、太鼓にはツルや葉っぱがまとわりつき、その周りで小さな鳥たちが遊んでいます。「盛者必衰の如く」というように栄えあるのもいつしか無となり自然に還るといった事を表現したかったのでしょうか??なんともセンチメンタルになる一枚です。
様々な鳥たち(12),https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4953.jpg,対空を舞う白サギと陸に住む鶏ですね、どちらも対局になっている二匹ですね、ひよこが愛くるしいですね。
様々な鳥たち(13),https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4954.jpg,上は雀で、下はダチョウのようですね、雀たちは公園などでよく見る光景ですね。まんまる可愛いです。
昆虫たち(1),https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4955.jpg,昆虫や両生類も北斎先生にかかればお手の物です!!北斎先生は昨日まで自分の部屋にいた蜘蛛が次の日にはいなくなったのを自分の娘に愚痴をこぼしていたようです。殿様バッタがかなりリアルです。
昆虫!!爬虫類!!両生類!!,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4956.jpg,蜘蛛を始め、かなりリアルな蛇を描いていますね、、ヤモリにアメンボ、緑虫、ハエなど沢山の生物を描いています。
談笑したり、くつろいでみたり,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4873.jpg,北斎の人物画は特徴を捉えつつも愛嬌が滲み出ています。カメラのように人々の生活の一瞬を捉えている点もいいですね。
読書したり、うたた寝したり、、,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4874.jpg,胸をあらわにして寝ている女性や、書物を読みながらうたた寝してしまっている人々、さて、この中に猫が混じっていますが、どこにいるでしょうか??
食事をしたり、洗濯したり、三味線引いたり,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4875.JPG,三味線を引いたり、談笑する男女、落ち込んでいる人を慰めているような光景もありますね。
ウナギを捌いたり、下駄の紐を結んだり,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4876.JPG,うなぎをさばいてみたり、考え事をしている人お茶をおかわり？しようとしている人もいますね。
働いたり、書物を読んでみたり、、,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4877.jpg,北斎の人物表現は、役者や美人にとどまらず、老若男女、神々や僧侶、文人、和漢古典の登場人物、あるいは庶民の暮らしぶりなどありとあらゆる層に及んでいます。力士等、特定のテーマによる題材を多様なポーズで描くことも試みています。
相撲をとったり、喧嘩もたまには、、,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4878.JPG,痩せた二人の男が相撲をとっていますね、女性の髪の毛を引っ張っている絵もありますが、あまり穏やかではありませんね、それを男二人が止めていますね。
裁縫に勤しむ女性に、将棋に興じる男性,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4879.jpg,裁縫を楽しむ女性と将棋に興じる男性、今の手待った！はこの時代からあったのでしょうか？？
身支度する女性や三味線を引くお坊さん,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4880.JPG,下着のない時代ですから仕方ないですが、女性の象徴が顕になっているのは江戸時代は割と自由奔放な時代かもしれませんね。三味線を引くお防さんは中々現代では見ない光景ですがこの時代では当たり前だったのでしょうか？尺八のようなものを吹く男性もあえて正面からではなく、後ろから描いているのも乙です。
海女さんや漁師の身支度。,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4881.JPG,海女さんが何をしているのかわかりませんが、躍動感ある構図ですね。イカリのようなものに腰掛けて休んでいる漁師もいます。
職人たち,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4882.JPG,なにやら創作に打ち込んでいる職人たちですね、話しかけようもんなら怒鳴り声が飛び交いそうな頑固そうな職人たちです。
祭りを楽しむ人達。力自慢の人も,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4884.JPG,祭りで笛を吹く人や、蹴鞠を楽しむ人たち、力自慢の人もいますね。
餅ついたり、笑ったり、働く女性など。,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4885.JPG,上の絵では工芸品のようなものを作成している女性に、真ん中では力比べをする男性二人、下では餅つき、、美味しそうですね。
喧嘩する人と止める人と,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4886.JPG,喧嘩する人とそれを止める人たちに、それを横目に釣りにいそしむ人たち。
整体？餅つき？,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4887.JPG,腰の上に人が乗っていますが、これは整体の一種なのでしょうか？？かなり荒療治にも見えますが、、
芸達者な人たち,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4889.JPG,腹話術をしている人や落語が終わって頭を下げる人、歌舞伎の二枚目を演じる人に音楽を楽しむ芸達者な人たちです。
貴族？,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4890.jpg,平安時代の貴族のようなもしくは公家のような人たちですね、実際にこの状況を拝見するのは難しいと思いますので、これを描くのはかなりの想像力と言えるでしょう。
元祖リアクション芸人？妖怪のドッキリ,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4891.JPG,妖怪は本来イタズラ好きなお茶目なやつら。北斎の描く妖怪はどこか憎めない愛嬌ある見た目ですね。驚く人もリアクション芸人のお手本となるような立派なリアクションです。
食事を楽しむ人やお酒を飲んで寝てしまう人,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4892.JPG,なんとも美味しそうなそばを食べようとして楽しそうな人に、お酒をのんで気持ちよく寝てしまう人もいます。相撲の取り合いをしている姿も見受けられます。
芸達者な人たちや生活,https://masarubucket.s3.ap-northeast-1.amazonaws.com/edopeaple/IMG_4929.jpg,江戸の女性が胸をあらわにするのは相変わらずのようですね。この一枚には曲芸師や仮面をかぶって三味線を引く人、落語で人を怖がらせる噺の達人など、様々な人たちが見受けられます。
様々な生活,https://masarubucket.s3.ap-northeast-1.amazonaws.com/edopeaple/IMG_4930.jpg,なぜかは分かりませんが、水をかぶる殿方がおりますが水の表現などが見事です。子供達の楽しそうな姿も見受けられます。
趣味を謳歌する人々,https://masarubucket.s3.ap-northeast-1.amazonaws.com/edopeaple/IMG_4931.jpg,煙管を吸ってリラックスする人、猿の芸を鑑賞する人北斎先生は人々の表情を的確に表現しており、楽しさがこちらにも伝わってきます。
談笑を楽しんでみたり、踊ってみたり,https://masarubucket.s3.ap-northeast-1.amazonaws.com/edopeaple/IMG_4932.jpg,談笑を楽しむ男女、女性の手にはお酒？がありますね、いつの時代もお酒を飲んで楽しむのは嗜みのようですね。
江戸の人々,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4947.jpg,北斎先生が描く人物画は写実的なのは勿論のこと、その場の空気やその人の表情なども伝わってきます。提灯を持って街を徘徊する女性、赤ん坊を背中におぶるお母さん、銭湯で体を洗う女性に着替える女性と様々な生活が伺えます。右上の方は泥棒でしょうか?当たり前ですが、今では見られない光景が描かれているのも北斎漫画の見どころの一つでございます。
楽しく暮らす人々、幸せな人々,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4948.jpg,談笑する人々や女性に怒られる人?など様々な人々が見受けられます。左上には妊婦さんとそれを触る旦那さん?の姿が描かれています。いつの時代も命の誕生は素晴らしいものですね。
寒くて嫌だ,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4949.jpg,上の人々は雪の中を歩いているのでしょうか?とても寒そうです。下の人たちは傘をさして集まっている様子、、
お坊さんたち,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4950.jpg,卒塔婆をに戒名?書くお坊さんやお経を唱える複数のお坊さんがいますね、心なしか合掌しているようにも見えます。なんとも可愛らしいお坊さんたちの一枚です。
赤穂浪士?,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4951.jpg,何やら色々なジャンルの絵が描かれているようですね。一番上は恐らく赤穂浪士ではないでしょうか?その他には詳しい詳細は分かりませんが、魚を網で焼く女性や石をわる男性などが見受けられます。※詳細がわかり次第更新します。
獅子舞とか凧とか,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/edopeaple/IMG_4952.jpg,獅子舞の面をかぶって太鼓を叩く人や、大きな凧の周りではしゃぐ子供たち、神主などの行事なども描かれています。
倶利伽羅剣,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4908.jpg,倶利伽羅剣は不動明王の立像が持つ剣であり、不動明王そのものの象徴でもあります。巻きついている倶利伽羅竜王(くりからりゅうおう)が燃え盛っている、様子からこの名前がつけられました。
四天王,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4909.JPG,元々インド神話で信仰されていた際は護世神とされていました。仏教宇宙論では中心である須弥山(しゅみせん)と言われる山の中腹を守る四神であります。左上から広目天、その右隣が多聞天(毘沙門天)　左下が増長天、右が持国天となります。
"鍾 馗（しょうき）",https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4910.JPG,鍾馗（しょうき）は厄除けの神様として有名でして、主に旗や屏風掛け軸に描かれる事が多く。中国の民間伝承に伝わる神様です。元々は唐代に実在した人物だとする説もあります。唐の六代皇帝である玄宗が現代でいうマラリアのような病気にかかってしまい、玄宗が高熱にうなされながら見た夢の中で、小鬼が悪さをしておりどこからともなく大鬼が現れ小鬼を難なく食べてしまいます。そこで玄宗がその大鬼に名を尋ねると、「自分は終南県出身の鍾馗であり、武徳年間（618年-626年）官吏になるために受験したが、落第してしまったのでそのことを恥に思い、自殺した。その時李淵(初代唐皇帝)に手厚く葬っていただいたのでその恩を返すためにやってきた。」夢から覚めた玄宗の体調はすっかり良くなり、病気は治ってしまいました。その後に画家の呉道玄に命じて鍾馗の絵を描かせたところ、玄宗が夢で見たそのままの姿だった。それから鍾馗は厄除けの象徴となり、日本でも平安時代の末期に初めて「辟邪絵」という作品の中で描かれているのが確認され、室町時代以降にも様々な画師に好まれ、たくさんの浮世絵師が描きました。
さまざまな神様,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4924.JPG,神様の他に浦島太郎が描かれていますね、真ん中に描かれています王母というのは女神であり、元々は「西王母」と呼ばれており、「西王母の山」または「玉山」と呼ばれる山に住んでいる神様です。※他の神様は随時更新します。
三玉の亀,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4942.jpg,鶴は千年、亀は万年というのは今でも有名な逸話です。ここで描かれている亀は背中に大きな岩を携えて、その上には三つの玉を乗せており、三玉の亀(さんぎょくのかめ)と称されております。万歳楽を歌う千年の鶴に対して、三玉の亀は「天下泰平国土安穏」を願うとてもありがたい亀なのです。
龍,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4943.jpg,誰もが知る、様々な創作物に登場する龍、いつの時代も神々しい想像上の生き物です。体は「蛇」、角は「鹿」、耳は「牛」、目は「ウサギ」、鱗は「鯉」、爪は「鷹」、手のひらは「虎」、頭はなんと「ラクダ」のようです。龍は皆さんご存知だと思いますが、これだけの種類の動物が合体した生き物だということを知る人は少ないでしょう。
鳳凰,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4944.jpg,鳳凰とは中国の伝説に登場する伝説の鳥で36種の羽を持つ鳥です。頭は「鶏」、あごは「燕」、首は「蛇」、背中は「亀」、尾は「魚」です。大きさは六尺(約180cm)程の大きさと言われており、西洋で言うフェニックス「不死鳥」に近い生物です。平和な世の中がやってくると出現すると言われています。一度でいいから目にしたいありがたい鳥です。
中国の優秀な役人たち,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4959.jpg,陳平や水滸伝に出てくる登場人物などが描かれています。※詳細については確認次第、更新します。
桃太郎の鬼退治,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4960.jpg,桃太郎の鬼退治は誰もが知っていて、色々な絵師が描いていますが、北斎先生が描いている桃太郎は特に構図がかっこいいのではないでしょうか。
演技がいい,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4961.jpg,宝珠や打ち出の小槌など、演技がいいものが沢山描かれています。
不明,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4962.jpg,絵柄について確認後、詳細分かり次第、記載いたします。
鬼は外!!福は内!!,https://masarubucket.s3.ap-northeast-1.amazonaws.com/youkai/IMG_4917.JPG,「鬼は外、福は内」で有名な豆まきで有名な節分、その昔は「春」「夏」「秋」「冬」と年に4回ある事はご存知ですか??日本では古来より、季節の変わり目に邪気が生じていると考えられており、邪気の象徴である「鬼」を祓うために季節が変わる度に節分を行っていたようです。現代でも季節の変わり目になると風邪を引きやすいというのは有名な話ですが、昔の人たちはそれを鬼の仕業だと考えていたんですね。豆を巻いている殿方の詳細は分かりませんが、豆が無くても鬼を倒してしまいそうな体格ですね。因みに渡辺さんの家には鬼が寄り付かないといった噂がありますが、そのルーツは平安時代まで遡ります。その当時、鬼に悩まされていた今日の京の京の都がそれを解決するために鬼退治を命じた、源頼光という名将の部下に渡辺綱という武将がいたのですが、この方が大変勇猛な武将だったようで鬼から恐れられていたようです。そういった逸話から渡辺さんの家には鬼はよりつかないと言われるようになりました。
鬼の右手には、、,https://masarubucket.s3.ap-northeast-1.amazonaws.com/youkai/IMG_4918.JPG,なんとも恐ろしい二匹の鬼の絵です。大きい方の鬼の右手には生首が、、談笑している感じが怖さをひき立たせていますね。
祐天和尚と累という妖怪,https://masarubucket.s3.ap-northeast-1.amazonaws.com/youkai/IMG_4919.JPG,"祐天和尚というお坊さんと累と言われる妖怪の絵です。驚かせようとしている、累に対して、なんとも余裕綽々の祐天和尚、祐天和尚は12歳の時に江戸の芝増上寺にて祐典と名乗り、修行をしていたのですが、修行当時にはお世辞にも出来がいいとは言えない小僧だったようでして、一度は自殺を試みるも、助けられ改心し、その後の断食修行にて神仏にて21日間修行を行ったところ、白昼夢にて不動明王に口に剣を飲まされ血を吐き、優れた知恵を授かったようです。そのあとは徳川将軍の5代綱吉、6代将軍の家宣の名を受け、奈良の東大寺の大仏の復興などにも参賀するなど、様々な功績を残すとても優秀なお坊さんなのです。そんな優秀なお坊さんになんとも勇敢?に挑むのが妖怪の累であります、この妖怪は茨城県常総市羽の妖怪でして、「かさね」と読みます。元々心優しい累は当時、旅をしていた谷五郎（やごろう）を看病し、その後に伴侶となります。しかし累はその見た目の悪さから,谷五郎から疎まれとうとう川に落とされ殺されてしまいます。谷吾郎はその後に何人も妻を娶りますが、すぐに死んでしまい、六人目の妻との間に菊という名の娘が生まれますが、この娘が累によって苦しめられます。それを聞きつけた祐天が菊を助けるために注力します。その一面を描いたものがこの一枚の絵です。祐天がなんともかっこいい一枚です。"
驚く人と玉手箱,https://masarubucket.s3.ap-northeast-1.amazonaws.com/youkai/IMG_4922.JPG,タコの模様が妖怪のドアップであり、それを見て驚く人、確かにこれは怖い、、下の絵は浦島太郎の玉手箱を開けた姿とその後でしょうか??随分とおじいさんになってしまっています。
金太郎に捕まる鬼、、,https://masarubucket.s3.ap-northeast-1.amazonaws.com/youkai/IMG_4923.JPG,頼朝に追われている義経を逃すべく、その道中の安宅の関所を通過するために、何も書いていない勧進帳を読んでいる様子のものです。真ん中は金太郎が鬼を捕まえたところでしょうか??困り顔の鬼がなんともおかしいですね。※一番下の絵は詳細が分からないので分かり次第更新します。
